,dist,date,party,name,votes,stab,stcd,justice,tea,trump,LW_new,RW_either,RW_both,Extreme_ new,casesSum,deathsSum,casesMax,deathsMax,totVotes,voteSh,extreme,partyClean,caseSh,clust,log_cases,log_death
70,H_2,2020-03-03,GOP,French Hill,0,AR,502,0,1,0,0,1,0,1,0,0,0,0,0,1,1,GOP,NA,AR2020-03-03,0,0
32,H_1,2020-08-04,GOP,Tiffany Shedd,33798,AZ,401,0,1,1,0,1,1,1,164665,3470,121789,2153,62141,0.5438921163,1,GOP,2.6498608,AZ2020-08-04,12.01167446,8.152198016
91,H_4,2020-03-03,GOP,Tom McClintock,139281,CA,604,0,1,1,0,1,1,1,2,0,2,0,160057,0.8701962426,1,GOP,1.25E-05,CA2020-03-03,1.098612289,0
166,H_21,2020-03-03,GOP,David Valadao,38706,CA,621,0,1,0,0,1,0,1,0,0,0,0,40522,0.9551848379,1,GOP,0,CA2020-03-03,0,0
172,H_22,2020-03-03,GOP,Devin Nunes,94495,CA,622,0,1,0,0,1,0,1,0,0,0,0,94495,1,1,GOP,0,CA2020-03-03,0,0
290,H_48,2020-03-03,GOP,Michelle Steel,74402,CA,648,0,1,0,0,1,0,1,3,0,3,0,107888,0.6896225716,1,GOP,2.78E-05,CA2020-03-03,1.386294361,0
187,H_25,2020-03-03,GOP,Mike Garcia,37200,CA,625,0,1,0,0,1,0,1,1,0,1,0,77244,0.4815908032,1,GOP,1.29E-05,CA2020-03-03,0.6931471806,0
122,H_10,2020-03-03,GOP,Ted Howze,49854,CA,610,0,1,0,0,1,0,1,0,0,0,0,73750,0.6759864407,1,GOP,0,CA2020-03-03,0,0
248,H_39,2020-03-03,GOP,Young Kim,83782,CA,639,0,1,0,0,1,0,1,4,0,3,0,83782,1,1,GOP,4.77E-05,CA2020-03-03,1.609437912,0
336,H_3,2020-06-30,GOP,Lauren Boebert,58169,CO,803,0,1,1,0,1,1,1,2857,77,692,28,106577,0.5457931824,1,GOP,0.02680690956,CO2020-06-30,7.957877358,4.356708827
412,H_19,2020-08-18,GOP,Byron Donalds,23480,FL,1219,0,1,1,0,1,1,1,28471,543,17494,384,103915,0.2259539046,1,GOP,0.2739835442,FL2020-08-18,10.25667643,6.298949247
480,H_26,2020-08-18,GOP,Carlos Gimenez,29468,FL,1226,0,1,1,0,1,1,1,148639,2139,146989,2126,49175,0.5992475852,1,GOP,3.022653787,FL2020-08-18,11.90928255,7.668561108
375,H_3,2020-08-18,GOP,Kat Cammack,21673,FL,1203,0,1,1,0,1,1,1,18371,258,7448,118,85912,0.2522697644,1,GOP,0.2138350871,FL2020-08-18,9.818583045,5.556828062
482,H_27,2020-08-18,GOP,Maria Elvira Salazar,39626,FL,1227,0,1,1,0,1,1,1,146989,2126,146989,2126,50126,0.7905278698,1,GOP,2.932390376,FL2020-08-18,11.89811984,7.662467815
406,H_15,2020-08-18,GOP,Scott Franklin,30718,FL,1215,0,1,1,0,1,1,1,55910,966,34605,490,59958,0.5123252944,1,GOP,0.9324860736,FL2020-08-18,10.93151642,6.874198495
541,H_6,2020-06-09,GOP,Karen Handel,40178,GA,1306,0,1,1,0,1,1,1,12382,610,4925,272,53883,0.7456526177,1,GOP,0.2297941837,GA2020-06-09,9.424079843,6.415096959
544,H_7,2020-06-09,GOP,Rich McCormick,34358,GA,1307,0,1,1,0,1,1,1,5267,155,4692,143,62328,0.5512450263,1,GOP,0.08450455654,GA2020-06-09,8.569406063,5.049856007
554,H_9,2020-06-09,GOP,Matt Gurtler,27943,GA,1309,0,1,0,0,1,0,1,5651,132,2664,51,131117,0.2131150042,1,GOP,0.04309891166,GA2020-06-09,8.639764744,4.890349128
737,H_1,2020-06-02,GOP,Ashley Hinson,37554,IA,1901,0,1,1,0,1,1,1,4929,212,1759,79,48137,0.7801483267,1,GOP,0.1023952469,IA2020-06-02,8.503094267,5.361292166
745,H_3,2020-06-02,GOP,David Young,38649,IA,1903,0,1,1,0,1,1,1,5915,170,4344,133,55298,0.6989222033,1,GOP,0.1069658939,IA2020-06-02,8.685415824,5.141663557
740,H_2,2020-06-02,GOP,Mariannette Miller-Meeks,22682,IA,1902,0,1,1,0,1,1,1,3571,133,615,41,47557,0.4769434573,1,GOP,0.07508884076,IA2020-06-02,8.180880942,4.8978398
645,H_14,2020-03-17,GOP,Jim Oberweis,13187,IL,1714,0,1,1,0,1,1,1,40,0,26,0,51487,0.2561229048,1,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
631,H_6,2020-03-17,GOP,Jeanne Ives,28327,IL,1706,0,1,0,0,1,0,1,145,1,107,1,39990,0.708352088,1,GOP,0.003625906477,IL2020-03-17,4.983606622,0.6931471806
639,H_13,2020-03-17,GOP,Rodney Davis,0,IL,1713,0,1,0,0,1,0,1,3,0,3,0,0,1,1,GOP,Inf,IL2020-03-17,1.386294361,0
720,H_5,2020-06-02,GOP,Victoria Spartz,34395,IN,1805,0,1,1,0,1,1,1,12976,909,10089,637,86629,0.3970379434,1,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
766,H_3,2020-08-04,GOP,Amanda Adkins,28563,KS,2003,0,1,0,0,1,0,1,10104,194,5252,98,93141,0.3066640899,1,GOP,0.1084806906,KS2020-08-04,9.22078563,5.272999559
785,H_4,2020-06-23,GOP,Thomas Massie,68590,KY,2104,0,1,0,0,1,0,1,6111,299,3651,198,84681,0.8099809875,1,GOP,0.07216494845,KY2020-06-23,8.718009331,5.703782475
,H_3,11-03-20,GOP,Clay Higgins,230480,LA,2203,0,1,0,0,1,0,1,3465060,837,1019582,230,340120,0.6776431848,1,GOP,10.18775726,,15.05824,6.731018
807,H_2,2020-07-14,GOP,Dale Crafts,22634,ME,2302,0,1,1,0,1,1,1,1002,35,502,14,50654,0.4468353931,1,GOP,0.0197812611,ME2020-07-14,6.910750788,3.583518938
808,H_2,2020-07-14,GOP,Eric Brakey,11581,ME,2302,0,1,0,0,1,0,1,1002,35,502,14,50654,0.2286295258,1,GOP,0.0197812611,ME2020-07-14,6.910750788,3.583518938
955,H_11,2020-08-04,GOP,Eric Esshaki,26989,MI,2611,0,1,1,0,1,1,1,42539,3937,27589,2811,86930,0.3104681928,1,GOP,0.4893477511,MI2020-08-04,10.65820009,8.278428259
944,H_8,2020-08-04,GOP,Paul Junge,30475,MI,2608,0,1,1,0,1,1,1,17298,1185,14950,1126,86737,0.3513494818,1,GOP,0.1994304622,MI2020-08-04,9.758403975,7.07834158
926,H_3,2020-08-04,GOP,Peter Meijer,47272,MI,2603,0,1,0,0,1,0,1,8677,203,7300,154,94194,0.5018578678,1,GOP,0.09211839395,MI2020-08-04,9.068546366,5.318119994
950,H_10,2020-08-04,GOP,Shane Hernandez,44566,MI,2610,0,1,0,0,1,0,1,12167,1073,10075,942,122344,0.3642679657,1,GOP,0.09944909436,MI2020-08-04,9.406564834,6.979145275
974,H_1,2020-08-11,GOP,Jim Hagedorn,0,MN,2701,0,1,1,0,1,1,1,9597,84,1768,23,0,1,1,GOP,Inf,MN2020-08-11,9.169310022,4.442651256
1002,H_7,2020-08-11,GOP,Michelle Fischbach,25919,MN,2707,0,1,1,0,1,1,1,7827,104,2909,40,44179,0.586681455,1,GOP,0.1771656217,MN2020-08-11,8.965462329,4.65396035
976,H_2,2020-08-11,GOP,Tyler Kistner,0,MN,2702,0,1,1,0,1,1,1,9590,188,4507,106,0,1,1,GOP,Inf,MN2020-08-11,9.168580438,5.241747015
1034,H_2,2020-08-04,GOP,Ann Wagner,0,MO,2902,0,1,0,0,1,0,1,19259,779,13788,651,0,1,1,GOP,Inf,MO2020-08-04,9.865785685,6.65929392
1080,H_1,2020-06-02,GOP,Matt Rosendale,104286,MT,3001,0,1,1,0,1,1,1,0,0,0,0,215741,0.4833851702,1,GOP,0,MT2020-06-02,0,0
1327,H_11,2020-06-23,GOP,Madison Cawthorn,30444,NC,3711,0,1,1,0,1,1,1,3043,111,918,49,46250,0.6582486486,1,GOP,0.06579459459,NC2020-06-23,8.020927719,4.718498871
,H_8,2020-3-3,GOP,Richard Hudson,0,NC,3708,0,1,0,0,1,0,1,0,0,0,0,0,1,1,GOP,NA,,0,0
1144,H_1,2020-09-08,GOP,Matt Mowers,41398,NH,3301,0,1,1,0,1,1,1,7283,429,4121,287,69558,0.5951579976,1,GOP,0.104703988,NH2020-09-08,8.893435441,6.063785209
1165,H_3,2020-07-07,GOP,David Richter,26307,NJ,3403,0,1,1,0,1,1,1,15139,1420,9806,982,40798,0.6448110201,1,GOP,0.3710721114,NJ2020-07-07,9.625095527,7.259116128
1192,H_2,2020-07-07,GOP,Jeff Van Drew,33590,NJ,3402,0,1,1,0,1,1,1,32957,2667,9806,982,41096,0.8173544871,1,GOP,0.8019515281,NJ2020-07-07,10.4029893,7.889084407
1214,H_2,2020-06-02,GOP,Yvette Herrell,26882,NM,3502,0,1,1,0,1,1,1,5270,210,2480,114,60124,0.4471093074,1,GOP,0.08765218548,NM2020-06-02,8.569975377,5.351858133
1123,H_3,2020-06-09,GOP,Dan Rodimer,22728,NV,3203,0,1,1,0,1,1,1,7804,365,7804,365,46141,0.4925771006,1,GOP,0.1691337422,NV2020-06-09,8.962519833,5.902633333
1276,H_22,2020-06-23,GOP,Claudia Tenney,22985,NY,3622,0,1,1,0,1,1,1,3081,176,1421,89,38416,0.598318409,1,GOP,0.08020095793,NY2020-06-23,8.033334016,5.176149733
1325,H_1,2020-06-23,GOP,Lee Zeldin,0,NY,3601,0,1,1,0,1,1,1,41056,2018,41056,2018,0,1,1,GOP,Inf,NY2020-06-23,10.62271662,7.610357618
1307,H_11,2020-06-23,GOP,Nicole Malliotakis,12952,NY,3611,0,1,1,0,1,1,1,0,0,0,0,18396,0.7040661013,1,GOP,0,NY2020-06-23,0,0
1227,H_2,2020-06-23,GOP,Andrew Garbarino,17459,NY,3602,0,1,0,0,1,0,1,82600,4704,41544,2686,27325,0.6389387008,1,GOP,3.022872827,NY2020-06-23,11.32177707,8.456381052
1362,H_10,2020-04-28,GOP,Mike Turner,41311,OH,3910,0,1,1,0,1,1,1,326,12,266,8,47744,0.8652605563,1,GOP,0.00682808311,OH2020-04-28,5.789960171,2.564949357
1368,H_12,2020-04-28,GOP,Troy Balderson,47903,OH,3912,0,1,1,0,1,1,1,4672,76,2191,62,56963,0.8409493882,1,GOP,0.08201815213,OH2020-04-28,8.449556543,4.343805422
1361,H_1,2020-04-28,GOP,Steve Chabot,0,OH,3901,0,1,0,0,1,0,1,1222,69,1091,58,0,1,1,GOP,Inf,OH2020-04-28,7.109062136,4.248495242
1457,H_4,2020-05-19,GOP,Alek Skarlatos,69245,OR,4104,0,1,0,0,1,0,1,313,17,109,9,79279,0.8734343269,1,GOP,0.00394808209,OR2020-05-19,5.749392986,2.890371758
1530,H_1,2020-06-09,GOP,Nancy Mace,48294,SC,4501,0,1,1,0,1,1,1,1957,64,835,19,84003,0.574908039,1,GOP,0.02329678702,SC2020-06-09,7.579678823,4.17438727
1772,H_24,2020-03-03,GOP,Beth Van Duyne,31625,TX,4824,0,1,1,0,1,1,1,0,0,0,0,49207,0.6426931128,1,GOP,0,TX2020-03-03,0,0
1789,H_32,2020-03-03,GOP,Genevieve Collins,22102,TX,4832,0,1,1,0,1,1,1,0,0,0,0,41995,0.5263007501,1,GOP,0,TX2020-03-03,0,0
1753,H_22,2020-03-03,GOP,Troy Nehls,29565,TX,4822,0,1,1,0,1,1,1,0,0,0,0,72996,0.405022193,1,GOP,0,TX2020-03-03,0,0
1806,H_7,2020-03-03,GOP,Wesley Hunt,27944,TX,4807,0,1,1,0,1,1,1,0,0,0,0,45798,0.6101576488,1,GOP,0,TX2020-03-03,0,0
1743,H_21,2020-03-03,GOP,Chip Roy,0,TX,4821,0,1,0,0,1,0,1,11,0,11,0,0,1,1,GOP,Inf,TX2020-03-03,2.48490665,0
1678,H_10,2020-03-03,GOP,Michael McCaul,0,TX,4810,0,1,0,0,1,0,1,0,0,0,0,0,1,1,GOP,NA,TX2020-03-03,0,0
1762,H_23,2020-03-03,GOP,Tony Gonzales,11547,TX,4823,0,1,0,0,1,0,1,11,0,11,0,41062,0.2812089036,1,GOP,0.0002678875846,TX2020-03-03,2.48490665,0
1829,H_4,2020-06-30,GOP,Burgess Owens,48553,UT,4904,0,1,1,0,1,1,1,15379,129,11227,107,111690,0.4347121497,1,GOP,0.1376936163,UT2020-06-30,9.640823243,4.86753445
1865,H_2,2020-06-23,GOP,Scott Taylor,23215,VA,5102,0,1,1,0,1,1,1,3763,104,1033,28,47942,0.4842309457,1,GOP,0.07849067623,VA2020-06-23,8.233237501,4.65396035
